date, infections, reports
Mar 02, 279, 7
Mar 03, 270, 24
Mar 04, 370, 38
Mar 05, 393, 36
Mar 06, 607, 53
Mar 07, 767, 19
Mar 08, 1039, 20
Mar 09, 1588, 80
Mar 10, 2042, 132
Mar 11, 2555, 159
Mar 12, 2816, 231
Mar 13, 3445, 332
Mar 14, 3481, 292
Mar 15, 3607, 291
Mar 16, 4778, 537
Mar 17, 4008, 805
Mar 18, 4135, 945
Mar 19, 3568, 963
Mar 20, 4183, 994
Mar 21, 3359, 781
Mar 22, 2791, 534
Mar 23, 4023, 873
Mar 24, 2983, 1081
Mar 25, 3274, 1280
Mar 26, 2911, 1376
Mar 27, 3017, 1500
Mar 28, 2819, 1161
Mar 29, 2234, 813
Mar 30, 3211, 1089
Mar 31, 2386, 1626
Apr 01, 2827, 1678
Apr 02, 2540, 1805
Apr 03, 2600, 1964
Apr 04, 2039, 1276
Apr 05, 1792, 810
Apr 06, 2315, 1177
Apr 07, 1991, 1536
Apr 08, 1874, 1687
Apr 09, 1773, 1621
Apr 10, 1499, 1082
Apr 11, 1260, 1111
Apr 12, 1247, 660
Apr 13, 1204, 570
Apr 14, 1234, 873
Apr 15, 1201, 1080
Apr 16, 1077, 1136
Apr 17, 1017, 1228
Apr 18, 883, 767
Apr 19, 755, 578
Apr 20, 959, 675
Apr 21, 771, 787
Apr 22, 742, 1015
Apr 23, 749, 883
Apr 24, 662, 803
Apr 25, 576, 586
Apr 26, 477, 285
Apr 27, 668, 520
Apr 28, 502, 584
Apr 29, 461, 629
Apr 30, 544, 612
May 01, 414, 422
May 02, 376, 291
May 03, 389, 186
May 04, 494, 324
May 05, 410, 495
May 06, 365, 547
May 07, 352, 507
May 08, 308, 506
May 09, 274, 322
May 10, 231, 163
May 11, 282, 337
May 12, 258, 358
May 13, 196, 463
May 14, 187, 418
May 15, 154, 382
May 16, 125, 247
May 17, 70, 212
May 18, 65, 316
May 19, 19, 398
May 20, 4, 251
